Dodge1;0,6;73,87;125,17
Dodge2;73,0;68,93;134,11
Frame27;141,30;87,63;122,41
Frame28;228,37;90,56;119,48
Frame29;318,38;87,55;122,49
Frame30;405,40;85,53;124,51
Frame31;490,44;85,49;124,55
Frame32;575,38;85,55;124,49
Frame33;660,35;85,58;124,46
Frame34;745,22;85,71;124,33
Frame35;830,22;85,71;124,33
Javelin1;915,86;63,7;109,51
Javelin2;0,165;63,8;85,56
Javelin3;63,164;63,9;54,65
Javelin4;126,162;63,11;33,71
Javelin5;189,161;62,12;18,81
Javelin6;251,162;63,11;7,87
Javelin7;314,154;62,19;5,80
Javelin8;376,163;62,10;1,88
Stand;438,93;85,80;124,24
