Lance_000;0,32;47,61;127,43
Lance_001;47,32;54,61;127,43
Lance_002;101,34;53,59;127,45
Lance_003;154,37;61,56;128,48
Lance_004;215,34;67,59;125,45
Lance_005;282,35;64,58;113,47
Lance_006;346,39;79,54;77,50
Lance_007;425,37;58,56;88,48
Lance_007_under;483,79;30,14;71,72
Lance_008;513,35;38,58;98,52
Lance_009;551,23;60,70;98,40
Lance_010;611,23;60,70;98,40
Lance_011;671,29;56,64;91,48
Lance_012;727,16;47,77;91,35
Lance_013;774,0;75,93;90,12
Lance_014;849,4;75,89;91,16
Lance_015;924,14;75,79;93,26
Lance_016;999,17;76,76;95,29
Lance_017;1075,29;80,64;97,42
Lance_018;0,96;72,64;110,43
Lance_019;72,101;72,59;114,48
Lance_020;144,114;62,46;120,58
Lance_021;206,113;40,47;134,59
Lance_022;246,112;33,48;141,58
Lance_023;279,112;40,48;145,58
Lance_024;319,112;50,48;137,58
Lance_025;369,113;54,47;137,58
Lance_026;423,113;49,47;137,58
Lance_027;472,101;67,59;125,45
Lance_028;539,99;55,61;124,44
Lance_029;594,99;54,61;121,43
Lance_030;648,101;64,59;135,45
Lance_031;712,94;64,66;135,38
Lance_032;776,109;75,51;132,53
Lance_033;851,98;74,62;132,42
Lance_034;925,94;65,66;134,38
Lance_035;990,93;65,67;134,37
Lance_036;1055,93;68,67;131,37
Lance_037;1123,93;65,67;134,37
Lance_038;0,162;67,67;132,37
Lance_039;67,160;68,69;131,35
Lance_040;135,181;74,48;139,58
Lance_041;209,181;74,48;139,56
Lance_042;283,181;74,48;137,58
Lance_043;357,181;74,48;137,56
Lance_044;431,181;73,48;139,56
Lance_045;504,182;75,47;139,57
Lance_046;579,180;74,49;140,55
Lance_059;653,168;49,61;138,43
Lance_060;702,169;50,60;138,44
Lance_061;752,173;75,56;71,48
