Airburst0;0,48;32,30;132,75
Airburst1;32,20;64,58;116,63
Airburst2;96,18;69,60;111,67
Airburst3;165,11;81,67;103,65
Airburst4;246,4;89,74;98,61
Airburst5;335,1;102,77;93,59
Airburst6;437,5;119,73;85,57
Airburst7;556,7;127,71;86,52
Airburst8;683,8;141,70;84,46
Airburst9;824,0;153,78;76,43
Airburst10;0,102;139,84;88,40
Airburst11;139,98;119,88;100,39
Airburst12;258,78;69,108;117,31
Airburst13;327,82;75,104;115,29
Airburst14;402,100;75,86;113,42
Airburst15;477,122;73,64;112,48
Airburst16;550,129;76,57;112,54
Airburst17;626,105;84,81;112,52
Airburst18;710,104;117,82;101,55
Airburst19;827,132;156,54;70,65
Airburst20;0,250;168,71;57,59
Airburst21;168,215;141,106;72,37
Airburst22;309,207;69,114;115,18
Airburst23;378,225;67,96;111,36
Airburst24;445,253;64,68;112,47
Airburst25;509,237;80,84;110,55
Airburst26;589,217;88,104;108,39
Airburst27;677,198;94,123;110,23
Airburst28;771,193;86,128;122,18
Airburst29;857,186;72,135;136,11
Airburst30;929,187;66,134;138,12
Airburst31;0,321;61,114;139,21
