pose;Attack
f;1;Spheres1
f;1;Spheres2
f;1;Spheres3
f;1;Spheres4
f;1;Spheres5
f;1;Spheres6
f;1;Spheres7
f;1;Spheres8
f;1;Spheres9
f;1;Spheres10
f;1;Spheres11
f;1;Spheres12
f;1;Spheres13
f;1;Spheres14
f;1;Spheres15
f;1;Spheres16
f;4;Spheres17
f;4;Spheres18
f;4;Spheres16
f;4;Spheres17
f;1;Spheres19
f;1;Spheres20
f;1;Spheres21
f;1;Spheres22
f;1;Spheres23
f;1;Spheres24
f;1;Spheres25
f;1;Spheres26
f;1;Spheres27
f;1;Spheres28
f;1;Spheres29
f;1;Spheres30
f;1;Spheres31
f;1;Spheres32
f;1;Spheres33
f;1;Spheres34
f;1;Spheres35
f;1;Spheres36
f;1;Spheres37
f;1;Spheres38
f;1;Spheres39
f;1;Spheres40
f;1;Spheres41
f;1;Spheres42
f;1;Spheres43
f;1;Spheres44
f;1;Spheres45
f;1;Spheres46
f;1;Spheres47
f;1;Spheres48
f;1;Spheres49
f;1;Spheres50
f;1;Spheres51
f;1;Spheres52
f;1;Spheres53
f;1;Spheres54
f;1;Spheres55
f;1;Spheres56
f;1;Spheres57
f;1;Spheres58
f;1;Spheres59
f;1;Spheres60
f;1;Spheres61
f;1;Spheres62
f;1;Spheres63
f;1;Spheres64
f;1;Spheres65
f;1;Spheres66
f;1;Spheres67
f;1;Spheres68
f;1;Spheres69
f;1;Spheres70
f;1;Spheres71
f;1;Spheres72
f;1;Spheres73
f;1;Spheres74
f;1;Spheres75
f;1;Spheres76
f;1;Spheres77
f;1;Spheres78
f;1;Spheres79
f;1;Spheres80
f;1;Spheres81
f;1;Spheres82
f;1;Spheres83
f;1;Spheres84
f;1;Spheres85
f;1;Spheres86
f;1;Spheres87
f;1;Spheres88
f;1;Spheres89
f;1;Spheres90
f;1;Spheres91
f;1;Spheres92
f;1;Spheres93
f;1;Spheres94
f;1;Spheres95
f;1;Spheres96
f;1;Spheres97
f;1;Spheres98
f;1;Spheres99
f;1;Spheres100
f;1;Spheres101
f;1;Spheres102
f;1;Spheres103
f;1;Spheres104
f;1;Spheres105
f;1;Spheres106
f;1;Spheres107
f;1;Spheres108
f;1;Spheres109
f;1;Spheres110
f;1;Spheres111
f;1;Spheres112
f;1;Spheres113
f;1;Spheres114
f;1;Spheres115
f;1;Spheres116
f;1;Spheres117
f;1;Spheres118
f;1;Spheres119
f;1;Spheres120
f;1;Spheres121
f;1;Spheres122
f;1;Spheres123
f;1;Spheres124
f;1;Spheres125
f;1;Spheres126
f;1;Spheres127
f;1;Spheres128
f;1;Spheres129
f;1;Spheres130
f;1;Spheres131
f;1;Spheres132
f;1;Spheres133
f;1;Spheres134
f;1;Spheres135
f;1;Spheres136
f;1;Spheres137
f;1;Spheres138
f;1;Spheres139
f;1;Spheres140
f;1;Spheres141
f;1;Spheres142
f;1;Spheres143
f;1;Spheres16
f;4;Spheres17
f;4;Spheres18
f;4;Spheres16
f;3;Spheres17
f;1;Spheres144
f;1;Spheres145
f;1;Spheres146
f;1;Spheres147
f;1;Spheres148
f;1;Spheres149
f;1;Spheres150
f;1;Spheres151
f;1;Spheres152
f;1;Spheres153
f;1;Spheres154
f;1;Spheres155
f;2;Spheres156
f;3;Spheres157
f;1;Spheres158
f;1;Spheres159
f;1;Spheres160
f;1;Spheres161
f;1;Spheres162
wait;1
