pose;Attack
f;1;Spheres01
f;1;Spheres02
f;1;Spheres03
f;1;Spheres04
f;1;Spheres05
f;1;Spheres06
f;1;Spheres07
f;1;Spheres08
f;1;Spheres09
f;1;Spheres10
f;1;Spheres11
f;1;Spheres12
f;1;Spheres13
f;1;Spheres14
f;1;Spheres15
f;1;Spheres16
f;1;Spheres17
f;1;Spheres18
f;1;Spheres19
f;1;Spheres20
f;1;Spheres21
f;1;Spheres22
f;1;Spheres23
f;1;Spheres24
f;1;Spheres25
f;1;Spheres26
f;1;Spheres27
f;1;Spheres28
f;1;Spheres29
f;1;Spheres30
f;1;Spheres31
f;1;Spheres32
f;1;Spheres33
f;1;Spheres34
f;1;Spheres35
f;1;Spheres36
f;1;Spheres37
f;1;Spheres38
f;1;Spheres39
f;1;Spheres40
f;1;Spheres41
f;1;Spheres42
f;1;Spheres43
f;1;Spheres44
f;1;Spheres45
f;1;Spheres46
f;1;Spheres47
f;1;Spheres48
f;1;Spheres49
f;1;Spheres50
f;1;Spheres51
f;1;Spheres52
f;1;Spheres53
f;1;Spheres54
f;1;Spheres55
f;1;Spheres56
f;1;Spheres57
f;1;Spheres58
f;1;Spheres59
f;1;Spheres60
f;1;Spheres61
f;1;Spheres62
f;1;Spheres63
f;1;Spheres64
f;1;Spheres65
f;1;Spheres66
f;1;Spheres67
f;1;Spheres68
f;1;Spheres69
f;1;Spheres70
f;1;Spheres71
f;1;Spheres72
f;1;Spheres73
f;1;Spheres74
f;1;Spheres75
f;1;Spheres76
f;1;Spheres77
f;1;Spheres78
f;1;Spheres79
f;1;Spheres80
f;1;Spheres81
f;1;Spheres82
f;1;Spheres83
f;1;Spheres84
f;1;Spheres85
f;1;Spheres86
f;1;Spheres87
f;1;Spheres88
f;1;Spheres89
f;1;Spheres90
f;1;Spheres91
f;1;Spheres92
wait;1
