pose;Attack
f;3;Hole1
f;3;Hole2
f;3;Hole3
f;3;Hole4
f;3;Hole5
f;3;Hole6
f;3;Hole7
f;3;Hole8
f;3;Hole9
f;3;Hole10
f;3;Hole11
f;3;Hole8
f;3;Hole9
f;3;Hole10
f;3;Hole11
f;3;Hole8
f;3;Hole9
f;3;Hole10
f;3;Hole11
f;3;Hole8
f;3;Hole9
f;3;Hole10
f;3;Hole11
f;3;Hole8
f;3;Hole9
f;3;Hole10
f;3;Hole11
f;3;Hole8
f;3;Hole9
f;3;Hole10
f;3;Hole11
f;3;Hole8
f;3;Hole9
f;3;Hole10
f;3;Hole11
f;3;Hole8
f;3;Hole9
f;3;Hole10
f;3;Hole11
f;3;Hole8
f;3;Hole9
f;3;Hole10
f;3;Hole11
f;3;Hole8
f;3;Hole9
f;3;Hole10
f;3;Hole11
f;3;Hole8
f;3;Hole9
f;3;Hole10
f;3;Hole11
f;3;Hole8
f;3;Hole9
f;3;Hole10
f;3;Hole11
f;3;Hole8
f;3;Hole9
f;3;Hole10
f;3;Hole11
f;3;Hole8
f;3;Hole9
f;3;Hole10
f;3;Hole7
f;3;Hole6
f;3;Hole5
f;3;Hole4
f;3;Hole3
f;3;Hole2
f;3;Hole1
wait;1
