Shine0;0,68;59,54;136,18
Shine1;59,38;70,84;129,12
Shine2;129,30;79,92;125,8
Shine3;208,22;89,100;121,4
Shine4;297,16;94,106;120,2
Shine5;391,9;102,113;116,2
Shine6;493,9;108,113;112,6
Shine7;601,1;115,121;105,2
Shine8;716,0;115,122;101,2
Shine9;831,2;123,120;97,4
Shine10;0,122;123,113;97,8
Shine11;123,123;122,112;96,12
Shine12;245,129;115,106;99,18
Shine13;360,135;114,100;96,23
Shine14;474,143;107,92;97,27
Shine15;581,151;102,84;97,31
Shine16;683,169;94,66;101,42
Shine17;777,177;86,58;105,46
Shine18;863,187;39,48;112,52
Shine19;902,196;31,39;116,57
Shine20;933,220;15,15;120,61
Shine21;948,228;7,7;124,65
