Flux0;0,70;5,5;146,53
Flux1;5,65;9,10;144,50
Flux2;14,60;13,15;142,47
Flux3;27,57;15,18;141,45
Flux4;42,55;17,20;140,44
Flux5;59,51;19,24;139,42
Flux6;78,46;22,29;137,37
Flux7;100,46;22,29;137,37
Flux8;122,45;22,30;137,36
Flux9;144,43;22,32;137,37
Flux10;166,32;22,43;137,37
Flux11;188,15;22,60;137,36
Flux12;210,0;23,75;137,37
Flux13;233,5;25,70;137,42
Flux14;258,2;26,73;136,40
Flux15;284,5;26,70;136,43
Flux16;310,33;26,42;136,72
Flux17;336,50;28,25;135,89
Flux18;364,60;28,15;135,99
Flux19;392,65;32,10;132,105
Flux20;424,66;29,9;134,106
Flux21;453,67;25,8;136,107
Flux22;478,68;23,7;137,108
Flux23;501,69;19,6;139,108
Flux24;520,70;16,5;140,109
Flux25;536,71;13,4;142,110
Flux26;549,73;5,2;146,111
