pose;Attack
f;1;Dust0
f;1;Dust1
f;1;Dust2
f;1;Dust3
f;1;Dust4
f;1;Dust5
f;1;Dust6
f;1;Dust7
f;1;Dust8
f;1;Dust9
f;1;Dust10
f;1;Dust11
f;1;Dust12
f;1;Dust13
f;1;Dust14
f;1;Dust15
f;1;Dust16
f;1;Dust17
f;1;Dust18
f;1;Dust19
f;1;Dust20
f;1;Dust21
f;1;Dust22
f;1;Dust23
f;1;Dust24
f;1;Dust25
f;1;Dust26
f;1;Dust27
f;1;Dust28
f;1;Dust29
f;1;Dust30
f;1;Dust31
f;1;Dust32
f;1;Dust33
f;1;Dust34
f;1;Dust35
f;1;Dust36
f;1;Dust37
f;1;Dust38
f;1;Dust39
f;1;Dust40
f;1;Dust41
f;1;Dust42
f;1;Dust43
f;1;Dust44
f;1;Dust45
f;1;Dust46
f;1;Dust47
f;1;Dust48
f;1;Dust49
f;1;Dust50
f;1;Dust51
f;1;Dust52
f;1;Dust53
f;1;Dust54
f;1;Dust55
f;1;Dust56
wait;1
